rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
29,0.9497624965009811,0.0532516544336953,65,0.995084179079808,0.006043572413949341,56,0.9949665062599132,0.006145257882909848,29,0.9544725072349382,0.046891216143507206,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 150, 'predictors': 'lightgbm', 'use_predictor': True}"
30,0.9497624965009811,0.0532516544336953,66,0.995084179079808,0.006043572413949341,57,0.9949665062599132,0.006145257882909848,30,0.9544725072349382,0.046891216143507206,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 150, 'predictors': 'forest', 'use_predictor': True}"
61,0.9516701264033861,0.055241139502094666,67,0.9970021232604023,0.004053461220045589,58,0.9968623390686805,0.004182770636163918,61,0.9564193633254406,0.04904636314056864,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 200, 'predictors': 'xgboost', 'use_predictor': True}"
62,0.9516701264033861,0.055241139502094666,68,0.9970021232604023,0.004053461220045589,59,0.9968623390686805,0.004182770636163918,62,0.9564193633254406,0.04904636314056864,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 200, 'predictors': 'lightgbm', 'use_predictor': True}"
63,0.9516701264033861,0.055241139502094666,69,0.9970021232604023,0.004053461220045589,60,0.9968623390686805,0.004182770636163918,63,0.9564193633254406,0.04904636314056864,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 200, 'predictors': 'forest', 'use_predictor': True}"
64,0.9146410006748458,0.10066313784542034,70,0.9588950117085255,0.04993824107461714,61,0.9588157523858746,0.04988792854340068,64,0.9289397526966587,0.08292265580629817,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 50, 'predictors': 'xgboost', 'use_predictor': True}"
65,0.9146410006748458,0.10066313784542034,71,0.9588950117085255,0.04993824107461714,62,0.9588157523858746,0.04988792854340068,65,0.9289397526966587,0.08292265580629817,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 50, 'predictors': 'lightgbm', 'use_predictor': True}"
66,0.9146410006748458,0.10066313784542034,72,0.9588950117085255,0.04993824107461714,63,0.9588157523858746,0.04988792854340068,66,0.9289397526966587,0.08292265580629817,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 50, 'predictors': 'forest', 'use_predictor': True}"
67,0.9179317224668129,0.09793592746276955,55,0.9654740457787014,0.04181985709021441,64,0.9654124640029009,0.0417753218941864,67,0.9313338595106551,0.08033088185202393,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 100, 'predictors': 'xgboost', 'use_predictor': True}"
68,0.9179317224668129,0.09793592746276955,56,0.9654740457787014,0.04181985709021441,65,0.9654124640029009,0.0417753218941864,68,0.9313338595106551,0.08033088185202393,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 100, 'predictors': 'lightgbm', 'use_predictor': True}"
69,0.9179317224668129,0.09793592746276955,57,0.9654740457787014,0.04181985709021441,66,0.9654124640029009,0.0417753218941864,69,0.9313338595106551,0.08033088185202393,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 100, 'predictors': 'forest', 'use_predictor': True}"
58,0.9470881278160658,0.0609746193855211,58,0.9906577909315268,0.011133011922409087,67,0.9905380399640891,0.011238724344675807,58,0.9527887398053144,0.05366960964652644,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 150, 'predictors': 'xgboost', 'use_predictor': True}"
59,0.9470881278160658,0.0609746193855211,59,0.9906577909315268,0.011133011922409087,68,0.9905380399640891,0.011238724344675807,59,0.9527887398053144,0.05366960964652644,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 150, 'predictors': 'lightgbm', 'use_predictor': True}"
60,0.9470881278160658,0.0609746193855211,60,0.9906577909315268,0.011133011922409087,69,0.9905380399640891,0.011238724344675807,60,0.9527887398053144,0.05366960964652644,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 150, 'predictors': 'forest', 'use_predictor': True}"
76,0.9515742999999726,0.05355006474268681,61,0.9932424552132979,0.008939468932701974,70,0.9931134356402772,0.009051443799717007,76,0.9561825835306497,0.04772368482125557,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 200, 'predictors': 'xgboost', 'use_predictor': True}"
77,0.9515742999999726,0.05355006474268681,62,0.9932424552132979,0.008939468932701974,71,0.9931134356402772,0.009051443799717007,77,0.9561825835306497,0.04772368482125557,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 200, 'predictors': 'lightgbm', 'use_predictor': True}"
78,0.9515742999999726,0.05355006474268681,63,0.9932424552132979,0.008939468932701974,72,0.9931134356402772,0.009051443799717007,78,0.9561825835306497,0.04772368482125557,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 200, 'predictors': 'forest', 'use_predictor': True}"
73,0.9301293999778995,0.08197408407097419,82,0.9660460407519814,0.03940058978029362,82,0.9678202607010103,0.037135879159336915,73,0.9399237042883453,0.06957708552167154,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 50, 'predictors': 'xgboost', 'use_predictor': True}"
74,0.9301293999778995,0.08197408407097419,83,0.9660460407519814,0.03940058978029362,83,0.9678202607010103,0.037135879159336915,74,0.9399237042883453,0.06957708552167154,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 50, 'predictors': 'lightgbm', 'use_predictor': True}"
75,0.9301293999778995,0.08197408407097419,84,0.9660460407519814,0.03940058978029362,84,0.9678202607010103,0.037135879159336915,75,0.9399237042883453,0.06957708552167154,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 50, 'predictors': 'forest', 'use_predictor': True}"
