params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'min_samples_leaf': 5, 'min_samples_split': 3}",0.8684863523573201,0.9286528659572565,0.9245738009989217,0.8747044917257684,0.8748211571134759,21,57,62,21,32
"{'min_samples_leaf': 5, 'min_samples_split': 4}",0.8728179551122194,0.9299271215237414,0.9252749648790579,0.8794326241134752,0.8795604936063668,1,22,33,1,1
"{'min_samples_leaf': 5, 'min_samples_split': 5}",0.8635235732009927,0.9303183403380131,0.9350977668008107,0.8699763593380615,0.8700929983009926,77,11,1,71,71
"{'min_samples_leaf': 5, 'min_samples_split': 6}",0.8706467661691543,0.9290329070911203,0.9250877843042649,0.8770685579196218,0.8771908253599213,8,44,45,8,12
"{'min_samples_leaf': 5, 'min_samples_split': 7}",0.8656716417910448,0.9287422874005187,0.9246515554354531,0.8723404255319149,0.8724626665474381,64,54,60,51,51
"{'min_samples_leaf': 5, 'min_samples_split': 8}",0.8684863523573201,0.9283398909058391,0.9244156099238658,0.8747044917257684,0.8748211571134759,21,66,67,21,32
"{'min_samples_leaf': 5, 'min_samples_split': 9}",0.8700000000000001,0.926428507556112,0.923321685106431,0.8770685579196218,0.8772020030403291,17,89,89,8,8
"{'min_samples_leaf': 5, 'min_samples_split': 10}",0.8684863523573201,0.9278033622462667,0.9240887158476683,0.8747044917257684,0.8748211571134759,21,75,76,21,32
"{'min_samples_leaf': 6, 'min_samples_split': 2}",0.8663366336633662,0.9304971832245372,0.9254532852743177,0.8723404255319149,0.8724514888670303,51,10,29,51,58
"{'min_samples_leaf': 6, 'min_samples_split': 3}",0.8684863523573201,0.9277139408030045,0.9239904829347434,0.8747044917257684,0.8748211571134759,21,79,81,21,32
"{'min_samples_leaf': 6, 'min_samples_split': 4}",0.8656716417910448,0.9301506751318966,0.9287425272183931,0.8723404255319149,0.8724626665474381,64,14,3,51,51
"{'min_samples_leaf': 6, 'min_samples_split': 5}",0.8684863523573201,0.9266520611642672,0.9237063990586527,0.8747044917257684,0.8748211571134759,21,88,86,21,32
"{'min_samples_leaf': 6, 'min_samples_split': 6}",0.8706467661691543,0.9283510685862468,0.9247490447504779,0.8770685579196218,0.8771908253599213,8,65,57,8,12
"{'min_samples_leaf': 6, 'min_samples_split': 7}",0.8635235732009927,0.9285522668335866,0.9251722184063581,0.8699763593380615,0.8700929983009926,77,59,39,71,71
"{'min_samples_leaf': 6, 'min_samples_split': 8}",0.8635235732009927,0.9307654475543234,0.9276741608746757,0.8699763593380615,0.8700929983009926,77,7,4,71,71
"{'min_samples_leaf': 6, 'min_samples_split': 9}",0.8706467661691543,0.929614146472324,0.925518715731149,0.8770685579196218,0.8771908253599213,8,31,27,8,12
"{'min_samples_leaf': 6, 'min_samples_split': 10}",0.8635235732009927,0.9291558615756059,0.927643543311198,0.8699763593380615,0.8700929983009926,77,41,5,71,71
"{'min_samples_leaf': 7, 'min_samples_split': 2}",0.8641975308641975,0.9299606545649646,0.9257561493534756,0.8699763593380615,0.8700818206205848,71,20,23,71,82
"{'min_samples_leaf': 7, 'min_samples_split': 3}",0.8684863523573201,0.9311119556469641,0.9259846078787961,0.8747044917257684,0.8748211571134759,21,5,18,21,32
"{'min_samples_leaf': 7, 'min_samples_split': 4}",0.8678304239401495,0.9301059644102656,0.9263229830728159,0.8747044917257684,0.8748323347938836,40,16,13,21,22
"{'min_samples_leaf': 7, 'min_samples_split': 5}",0.8641975308641975,0.928630510596441,0.9245367798425009,0.8699763593380615,0.8700818206205848,71,58,64,71,82
"{'min_samples_leaf': 7, 'min_samples_split': 6}",0.8684863523573201,0.9297259232764017,0.9259873814790642,0.8747044917257684,0.8748211571134759,21,26,17,21,32
