nohup: ignoring input
experiment: K562 dpcp_rf
trainSet len:[X=71150,y=71150]
testSet len:[X=4147,y=4147]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 24/34] END n_estimators=240; total=4147, TP=97, TN=3906, FP=44, FN=100; precision=0.688, recall=0.492
accuracy: (test=0.965) average_precision: (test=0.592) balanced_accuracy: (test=0.741) f1: (test=0.574) roc_auc: (test=0.874) 2.06min
[fit 25/34] END n_estimators=250; total=4147, TP=103, TN=3901, FP=49, FN=94; precision=0.678, recall=0.523
accuracy: (test=0.966) average_precision: (test=0.589) balanced_accuracy: (test=0.755) f1: (test=0.590) roc_auc: (test=0.868) 2.15min
[fit 26/34] END n_estimators=260; total=4147, TP=101, TN=3905, FP=45, FN=96; precision=0.692, recall=0.513
accuracy: (test=0.966) average_precision: (test=0.589) balanced_accuracy: (test=0.751) f1: (test=0.589) roc_auc: (test=0.863) 2.25min
[fit 27/34] END n_estimators=270; total=4147, TP=100, TN=3906, FP=44, FN=97; precision=0.694, recall=0.508
accuracy: (test=0.966) average_precision: (test=0.589) balanced_accuracy: (test=0.748) f1: (test=0.587) roc_auc: (test=0.869) 2.32min
[fit 28/34] END n_estimators=280; total=4147, TP=101, TN=3903, FP=47, FN=96; precision=0.682, recall=0.513
accuracy: (test=0.966) average_precision: (test=0.594) balanced_accuracy: (test=0.750) f1: (test=0.586) roc_auc: (test=0.872) 2.40min
[fit 29/34] END n_estimators=290; total=4147, TP=100, TN=3901, FP=49, FN=97; precision=0.671, recall=0.508
accuracy: (test=0.965) average_precision: (test=0.591) balanced_accuracy: (test=0.748) f1: (test=0.578) roc_auc: (test=0.867) 2.49min
[fit 30/34] END n_estimators=300; total=4147, TP=99, TN=3908, FP=42, FN=98; precision=0.702, recall=0.503
accuracy: (test=0.966) average_precision: (test=0.586) balanced_accuracy: (test=0.746) f1: (test=0.586) roc_auc: (test=0.862) 2.57min
[fit 31/34] END n_estimators=310; total=4147, TP=99, TN=3908, FP=42, FN=98; precision=0.702, recall=0.503
accuracy: (test=0.966) average_precision: (test=0.589) balanced_accuracy: (test=0.746) f1: (test=0.586) roc_auc: (test=0.867) 2.70min
[fit 32/34] END n_estimators=320; total=4147, TP=99, TN=3907, FP=43, FN=98; precision=0.697, recall=0.503
accuracy: (test=0.966) average_precision: (test=0.587) balanced_accuracy: (test=0.746) f1: (test=0.584) roc_auc: (test=0.869) 2.77min
[fit 33/34] END n_estimators=330; total=4147, TP=98, TN=3904, FP=46, FN=99; precision=0.681, recall=0.497
accuracy: (test=0.965) average_precision: (test=0.593) balanced_accuracy: (test=0.743) f1: (test=0.575) roc_auc: (test=0.871) 2.82min
[fit 34/34] END n_estimators=340; total=4147, TP=98, TN=3906, FP=44, FN=99; precision=0.690, recall=0.497
accuracy: (test=0.966) average_precision: (test=0.583) balanced_accuracy: (test=0.743) f1: (test=0.578) roc_auc: (test=0.862) 2.91min
clf.best_estimator_params: {'n_estimators': 240}
best params found in line [25] for metric [roc_auc] in rank file
best params found in fit [24] for metric [roc_auc] in run_and_score file
clf.best_scoring_result: [Total: (test=4147) TP: (test=97.000) TN: (test=3906.000) FP: (test=44.000) FN: (test=100.000) precision: (test=0.688) recall: (test=0.492) accuracy: (test=0.965) average_precision: (test=0.592) balanced_accuracy: (test=0.741) f1: (test=0.574) roc_auc: (test=0.874) ]
write rank test to csv!!!
write over!!!
第二次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 240, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 150 fits
[fit 1/150] END max_depth=None; total=4147, TP=99, TN=3903, FP=47, FN=98; precision=0.678, recall=0.503
accuracy: (test=0.965) average_precision: (test=0.593) balanced_accuracy: (test=0.745) f1: (test=0.577) roc_auc: (test=0.871) 2.05min
[fit 2/150] END max_depth=1; total=4147, TP=34, TN=3445, FP=505, FN=163; precision=0.063, recall=0.173
accuracy: (test=0.839) average_precision: (test=0.053) balanced_accuracy: (test=0.522) f1: (test=0.092) roc_auc: (test=0.527) 10.48s
[fit 3/150] END max_depth=2; total=4147, TP=47, TN=3242, FP=708, FN=150; precision=0.062, recall=0.239
accuracy: (test=0.793) average_precision: (test=0.063) balanced_accuracy: (test=0.530) f1: (test=0.099) roc_auc: (test=0.555) 17.97s
[fit 4/150] END max_depth=3; total=4147, TP=115, TN=2198, FP=1752, FN=82; precision=0.062, recall=0.584
accuracy: (test=0.558) average_precision: (test=0.072) balanced_accuracy: (test=0.570) f1: (test=0.111) roc_auc: (test=0.578) 25.30s
[fit 5/150] END max_depth=4; total=4147, TP=114, TN=2146, FP=1804, FN=83; precision=0.059, recall=0.579
accuracy: (test=0.545) average_precision: (test=0.078) balanced_accuracy: (test=0.561) f1: (test=0.108) roc_auc: (test=0.585) 32.21s
[fit 6/150] END max_depth=5; total=4147, TP=118, TN=2225, FP=1725, FN=79; precision=0.064, recall=0.599
accuracy: (test=0.565) average_precision: (test=0.089) balanced_accuracy: (test=0.581) f1: (test=0.116) roc_auc: (test=0.612) 38.82s
[fit 7/150] END max_depth=6; total=4147, TP=121, TN=2300, FP=1650, FN=76; precision=0.068, recall=0.614
accuracy: (test=0.584) average_precision: (test=0.104) balanced_accuracy: (test=0.598) f1: (test=0.123) roc_auc: (test=0.638) 45.84s
[fit 8/150] END max_depth=7; total=4147, TP=122, TN=2466, FP=1484, FN=75; precision=0.076, recall=0.619
accuracy: (test=0.624) average_precision: (test=0.118) balanced_accuracy: (test=0.622) f1: (test=0.135) roc_auc: (test=0.661) 52.17s
[fit 9/150] END max_depth=8; total=4147, TP=120, TN=2670, FP=1280, FN=77; precision=0.086, recall=0.609
accuracy: (test=0.673) average_precision: (test=0.139) balanced_accuracy: (test=0.643) f1: (test=0.150) roc_auc: (test=0.686) 58.84s
[fit 10/150] END max_depth=9; total=4147, TP=122, TN=2884, FP=1066, FN=75; precision=0.103, recall=0.619
accuracy: (test=0.725) average_precision: (test=0.163) balanced_accuracy: (test=0.675) f1: (test=0.176) roc_auc: (test=0.716) 1.06min
[fit 11/150] END max_depth=10; total=4147, TP=122, TN=3018, FP=932, FN=75; precision=0.116, recall=0.619
accuracy: (test=0.757) average_precision: (test=0.190) balanced_accuracy: (test=0.692) f1: (test=0.195) roc_auc: (test=0.736) 1.16min
[fit 12/150] END max_depth=11; total=4147, TP=122, TN=3215, FP=735, FN=75; precision=0.142, recall=0.619
accuracy: (test=0.805) average_precision: (test=0.235) balanced_accuracy: (test=0.717) f1: (test=0.231) roc_auc: (test=0.767) 1.24min
[fit 13/150] END max_depth=12; total=4147, TP=119, TN=3376, FP=574, FN=78; precision=0.172, recall=0.604
accuracy: (test=0.843) average_precision: (test=0.280) balanced_accuracy: (test=0.729) f1: (test=0.267) roc_auc: (test=0.785) 1.33min
[fit 14/150] END max_depth=13; total=4147, TP=118, TN=3451, FP=499, FN=79; precision=0.191, recall=0.599
accuracy: (test=0.861) average_precision: (test=0.317) balanced_accuracy: (test=0.736) f1: (test=0.290) roc_auc: (test=0.797) 1.41min
[fit 15/150] END max_depth=14; total=4147, TP=110, TN=3563, FP=387, FN=87; precision=0.221, recall=0.558
accuracy: (test=0.886) average_precision: (test=0.358) balanced_accuracy: (test=0.730) f1: (test=0.317) roc_auc: (test=0.810) 1.49min
[fit 16/150] END max_depth=15; total=4147, TP=109, TN=3623, FP=327, FN=88; precision=0.250, recall=0.553
accuracy: (test=0.900) average_precision: (test=0.386) balanced_accuracy: (test=0.735) f1: (test=0.344) roc_auc: (test=0.813) 1.55min
[fit 17/150] END max_depth=16; total=4147, TP=110, TN=3700, FP=250, FN=87; precision=0.306, recall=0.558
accuracy: (test=0.919) average_precision: (test=0.426) balanced_accuracy: (test=0.748) f1: (test=0.395) roc_auc: (test=0.824) 1.62min
[fit 18/150] END max_depth=17; total=4147, TP=107, TN=3755, FP=195, FN=90; precision=0.354, recall=0.543
accuracy: (test=0.931) average_precision: (test=0.460) balanced_accuracy: (test=0.747) f1: (test=0.429) roc_auc: (test=0.832) 1.67min
[fit 19/150] END max_depth=18; total=4147, TP=105, TN=3788, FP=162, FN=92; precision=0.393, recall=0.533
accuracy: (test=0.939) average_precision: (test=0.482) balanced_accuracy: (test=0.746) f1: (test=0.453) roc_auc: (test=0.838) 1.72min
[fit 20/150] END max_depth=19; total=4147, TP=104, TN=3803, FP=147, FN=93; precision=0.414, recall=0.528
accuracy: (test=0.942) average_precision: (test=0.490) balanced_accuracy: (test=0.745) f1: (test=0.464) roc_auc: (test=0.836) 1.77min
[fit 21/150] END max_depth=20; total=4147, TP=102, TN=3829, FP=121, FN=95; precision=0.457, recall=0.518
accuracy: (test=0.948) average_precision: (test=0.504) balanced_accuracy: (test=0.744) f1: (test=0.486) roc_auc: (test=0.843) 1.82min
[fit 22/150] END max_depth=21; total=4147, TP=105, TN=3846, FP=104, FN=92; precision=0.502, recall=0.533
accuracy: (test=0.953) average_precision: (test=0.534) balanced_accuracy: (test=0.753) f1: (test=0.517) roc_auc: (test=0.851) 1.83min
[fit 23/150] END max_depth=22; total=4147, TP=103, TN=3856, FP=94, FN=94; precision=0.523, recall=0.523
accuracy: (test=0.955) average_precision: (test=0.537) balanced_accuracy: (test=0.750) f1: (test=0.523) roc_auc: (test=0.855) 1.89min
[fit 24/150] END max_depth=23; total=4147, TP=101, TN=3869, FP=81, FN=96; precision=0.555, recall=0.513
accuracy: (test=0.957) average_precision: (test=0.547) balanced_accuracy: (test=0.746) f1: (test=0.533) roc_auc: (test=0.855) 1.89min
[fit 25/150] END max_depth=24; total=4147, TP=99, TN=3879, FP=71, FN=98; precision=0.582, recall=0.503
accuracy: (test=0.959) average_precision: (test=0.562) balanced_accuracy: (test=0.742) f1: (test=0.540) roc_auc: (test=0.863) 1.93min
[fit 26/150] END max_depth=25; total=4147, TP=100, TN=3881, FP=69, FN=97; precision=0.592, recall=0.508
accuracy: (test=0.960) average_precision: (test=0.570) balanced_accuracy: (test=0.745) f1: (test=0.546) roc_auc: (test=0.851) 1.97min
[fit 27/150] END max_depth=26; total=4147, TP=100, TN=3882, FP=68, FN=97; precision=0.595, recall=0.508
accuracy: (test=0.960) average_precision: (test=0.565) balanced_accuracy: (test=0.745) f1: (test=0.548) roc_auc: (test=0.855) 1.94min
[fit 28/150] END max_depth=27; total=4147, TP=102, TN=3889, FP=61, FN=95; precision=0.626, recall=0.518
accuracy: (test=0.962) average_precision: (test=0.582) balanced_accuracy: (test=0.751) f1: (test=0.567) roc_auc: (test=0.859) 1.97min
[fit 29/150] END max_depth=28; total=4147, TP=98, TN=3899, FP=51, FN=99; precision=0.658, recall=0.497
accuracy: (test=0.964) average_precision: (test=0.579) balanced_accuracy: (test=0.742) f1: (test=0.566) roc_auc: (test=0.861) 2.01min
[fit 30/150] END max_depth=29; total=4147, TP=102, TN=3893, FP=57, FN=95; precision=0.642, recall=0.518
accuracy: (test=0.963) average_precision: (test=0.579) balanced_accuracy: (test=0.752) f1: (test=0.573) roc_auc: (test=0.867) 1.98min
[fit 31/150] END max_depth=30; total=4147, TP=102, TN=3893, FP=57, FN=95; precision=0.642, recall=0.518
accuracy: (test=0.963) average_precision: (test=0.597) balanced_accuracy: (test=0.752) f1: (test=0.573) roc_auc: (test=0.870) 1.96min
