nohup: ignoring input
experiment: HUVEC dpcp_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 24/34] END n_estimators=240; total=3192, TP=68, TN=2973, FP=67, FN=84; precision=0.504, recall=0.447
accuracy: (test=0.953) average_precision: (test=0.454) balanced_accuracy: (test=0.713) f1: (test=0.474) roc_auc: (test=0.837) 1.31min
[fit 25/34] END n_estimators=250; total=3192, TP=66, TN=2968, FP=72, FN=86; precision=0.478, recall=0.434
accuracy: (test=0.951) average_precision: (test=0.440) balanced_accuracy: (test=0.705) f1: (test=0.455) roc_auc: (test=0.824) 1.32min
[fit 26/34] END n_estimators=260; total=3192, TP=68, TN=2977, FP=63, FN=84; precision=0.519, recall=0.447
accuracy: (test=0.954) average_precision: (test=0.456) balanced_accuracy: (test=0.713) f1: (test=0.481) roc_auc: (test=0.829) 1.30min
[fit 27/34] END n_estimators=270; total=3192, TP=68, TN=2978, FP=62, FN=84; precision=0.523, recall=0.447
accuracy: (test=0.954) average_precision: (test=0.456) balanced_accuracy: (test=0.713) f1: (test=0.482) roc_auc: (test=0.831) 1.38min
[fit 28/34] END n_estimators=280; total=3192, TP=66, TN=2969, FP=71, FN=86; precision=0.482, recall=0.434
accuracy: (test=0.951) average_precision: (test=0.452) balanced_accuracy: (test=0.705) f1: (test=0.457) roc_auc: (test=0.837) 1.42min
[fit 29/34] END n_estimators=290; total=3192, TP=66, TN=2975, FP=65, FN=86; precision=0.504, recall=0.434
accuracy: (test=0.953) average_precision: (test=0.456) balanced_accuracy: (test=0.706) f1: (test=0.466) roc_auc: (test=0.838) 1.45min
[fit 30/34] END n_estimators=300; total=3192, TP=66, TN=2964, FP=76, FN=86; precision=0.465, recall=0.434
accuracy: (test=0.949) average_precision: (test=0.457) balanced_accuracy: (test=0.705) f1: (test=0.449) roc_auc: (test=0.840) 1.51min
[fit 31/34] END n_estimators=310; total=3192, TP=66, TN=2969, FP=71, FN=86; precision=0.482, recall=0.434
accuracy: (test=0.951) average_precision: (test=0.448) balanced_accuracy: (test=0.705) f1: (test=0.457) roc_auc: (test=0.828) 1.58min
[fit 32/34] END n_estimators=320; total=3192, TP=66, TN=2970, FP=70, FN=86; precision=0.485, recall=0.434
accuracy: (test=0.951) average_precision: (test=0.450) balanced_accuracy: (test=0.706) f1: (test=0.458) roc_auc: (test=0.831) 1.60min
[fit 33/34] END n_estimators=330; total=3192, TP=65, TN=2973, FP=67, FN=87; precision=0.492, recall=0.428
accuracy: (test=0.952) average_precision: (test=0.449) balanced_accuracy: (test=0.703) f1: (test=0.458) roc_auc: (test=0.831) 1.68min
[fit 34/34] END n_estimators=340; total=3192, TP=66, TN=2972, FP=68, FN=86; precision=0.493, recall=0.434
accuracy: (test=0.952) average_precision: (test=0.460) balanced_accuracy: (test=0.706) f1: (test=0.462) roc_auc: (test=0.838) 1.76min
clf.best_estimator_params: {'n_estimators': 300}
best params found in line [31] for metric [roc_auc] in rank file
best params found in fit [30] for metric [roc_auc] in run_and_score file
clf.best_scoring_result: [Total: (test=3192) TP: (test=66.000) TN: (test=2964.000) FP: (test=76.000) FN: (test=86.000) precision: (test=0.465) recall: (test=0.434) accuracy: (test=0.949) average_precision: (test=0.457) balanced_accuracy: (test=0.705) f1: (test=0.449) roc_auc: (test=0.840) ]
write rank test to csv!!!
write over!!!
第二次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 150 fits
[fit 1/150] END max_depth=None; total=3192, TP=65, TN=2973, FP=67, FN=87; precision=0.492, recall=0.428
accuracy: (test=0.952) average_precision: (test=0.455) balanced_accuracy: (test=0.703) f1: (test=0.458) roc_auc: (test=0.830) 1.63min
[fit 2/150] END max_depth=1; total=3192, TP=87, TN=1623, FP=1417, FN=65; precision=0.058, recall=0.572
accuracy: (test=0.536) average_precision: (test=0.060) balanced_accuracy: (test=0.553) f1: (test=0.105) roc_auc: (test=0.582) 7.84s
[fit 3/150] END max_depth=2; total=3192, TP=88, TN=1624, FP=1416, FN=64; precision=0.059, recall=0.579
accuracy: (test=0.536) average_precision: (test=0.065) balanced_accuracy: (test=0.557) f1: (test=0.106) roc_auc: (test=0.596) 13.42s
[fit 4/150] END max_depth=3; total=3192, TP=91, TN=1694, FP=1346, FN=61; precision=0.063, recall=0.599
accuracy: (test=0.559) average_precision: (test=0.080) balanced_accuracy: (test=0.578) f1: (test=0.115) roc_auc: (test=0.618) 20.23s
[fit 5/150] END max_depth=4; total=3192, TP=89, TN=1788, FP=1252, FN=63; precision=0.066, recall=0.586
accuracy: (test=0.588) average_precision: (test=0.091) balanced_accuracy: (test=0.587) f1: (test=0.119) roc_auc: (test=0.637) 24.72s
[fit 6/150] END max_depth=5; total=3192, TP=85, TN=1900, FP=1140, FN=67; precision=0.069, recall=0.559
accuracy: (test=0.622) average_precision: (test=0.118) balanced_accuracy: (test=0.592) f1: (test=0.123) roc_auc: (test=0.653) 29.87s
[fit 7/150] END max_depth=6; total=3192, TP=82, TN=1990, FP=1050, FN=70; precision=0.072, recall=0.539
accuracy: (test=0.649) average_precision: (test=0.134) balanced_accuracy: (test=0.597) f1: (test=0.128) roc_auc: (test=0.670) 33.87s
[fit 8/150] END max_depth=7; total=3192, TP=86, TN=2101, FP=939, FN=66; precision=0.084, recall=0.566
accuracy: (test=0.685) average_precision: (test=0.149) balanced_accuracy: (test=0.628) f1: (test=0.146) roc_auc: (test=0.689) 39.25s
[fit 9/150] END max_depth=8; total=3192, TP=86, TN=2196, FP=844, FN=66; precision=0.092, recall=0.566
accuracy: (test=0.715) average_precision: (test=0.168) balanced_accuracy: (test=0.644) f1: (test=0.159) roc_auc: (test=0.705) 44.78s
[fit 10/150] END max_depth=9; total=3192, TP=81, TN=2316, FP=724, FN=71; precision=0.101, recall=0.533
accuracy: (test=0.751) average_precision: (test=0.184) balanced_accuracy: (test=0.647) f1: (test=0.169) roc_auc: (test=0.720) 47.63s
[fit 11/150] END max_depth=10; total=3192, TP=83, TN=2434, FP=606, FN=69; precision=0.120, recall=0.546
accuracy: (test=0.789) average_precision: (test=0.219) balanced_accuracy: (test=0.673) f1: (test=0.197) roc_auc: (test=0.747) 53.15s
[fit 12/150] END max_depth=11; total=3192, TP=83, TN=2528, FP=512, FN=69; precision=0.139, recall=0.546
accuracy: (test=0.818) average_precision: (test=0.245) balanced_accuracy: (test=0.689) f1: (test=0.222) roc_auc: (test=0.760) 56.05s
[fit 13/150] END max_depth=12; total=3192, TP=82, TN=2618, FP=422, FN=70; precision=0.163, recall=0.539
accuracy: (test=0.846) average_precision: (test=0.269) balanced_accuracy: (test=0.700) f1: (test=0.250) roc_auc: (test=0.772) 59.89s
[fit 14/150] END max_depth=13; total=3192, TP=83, TN=2664, FP=376, FN=69; precision=0.181, recall=0.546
accuracy: (test=0.861) average_precision: (test=0.304) balanced_accuracy: (test=0.711) f1: (test=0.272) roc_auc: (test=0.783) 1.06min
[fit 15/150] END max_depth=14; total=3192, TP=82, TN=2737, FP=303, FN=70; precision=0.213, recall=0.539
