nohup: ignoring input
experiment: HeLa-S3 dpcp_rf
trainSet len:[X=62640,y=62640]
testSet len:[X=3654,y=3654]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
accuracy: (test=0.973) average_precision: (test=0.685) balanced_accuracy: (test=0.820) f1: (test=0.700) roc_auc: (test=0.909) 1.41min
[fit 24/34] END n_estimators=240; total=3654, TP=113, TN=3443, FP=37, FN=61; precision=0.753, recall=0.649
accuracy: (test=0.973) average_precision: (test=0.678) balanced_accuracy: (test=0.819) f1: (test=0.698) roc_auc: (test=0.906) 1.39min
[fit 25/34] END n_estimators=250; total=3654, TP=111, TN=3447, FP=33, FN=63; precision=0.771, recall=0.638
accuracy: (test=0.974) average_precision: (test=0.682) balanced_accuracy: (test=0.814) f1: (test=0.698) roc_auc: (test=0.903) 1.43min
[fit 26/34] END n_estimators=260; total=3654, TP=111, TN=3447, FP=33, FN=63; precision=0.771, recall=0.638
accuracy: (test=0.974) average_precision: (test=0.681) balanced_accuracy: (test=0.814) f1: (test=0.698) roc_auc: (test=0.908) 1.55min
[fit 27/34] END n_estimators=270; total=3654, TP=113, TN=3448, FP=32, FN=61; precision=0.779, recall=0.649
accuracy: (test=0.975) average_precision: (test=0.684) balanced_accuracy: (test=0.820) f1: (test=0.708) roc_auc: (test=0.908) 1.58min
[fit 28/34] END n_estimators=280; total=3654, TP=112, TN=3442, FP=38, FN=62; precision=0.747, recall=0.644
accuracy: (test=0.973) average_precision: (test=0.676) balanced_accuracy: (test=0.816) f1: (test=0.691) roc_auc: (test=0.907) 1.62min
[fit 29/34] END n_estimators=290; total=3654, TP=112, TN=3440, FP=40, FN=62; precision=0.737, recall=0.644
accuracy: (test=0.972) average_precision: (test=0.681) balanced_accuracy: (test=0.816) f1: (test=0.687) roc_auc: (test=0.905) 1.67min
[fit 30/34] END n_estimators=300; total=3654, TP=113, TN=3446, FP=34, FN=61; precision=0.769, recall=0.649
accuracy: (test=0.974) average_precision: (test=0.684) balanced_accuracy: (test=0.820) f1: (test=0.704) roc_auc: (test=0.908) 1.73min
[fit 31/34] END n_estimators=310; total=3654, TP=112, TN=3443, FP=37, FN=62; precision=0.752, recall=0.644
accuracy: (test=0.973) average_precision: (test=0.676) balanced_accuracy: (test=0.817) f1: (test=0.693) roc_auc: (test=0.906) 1.80min
[fit 32/34] END n_estimators=320; total=3654, TP=114, TN=3443, FP=37, FN=60; precision=0.755, recall=0.655
accuracy: (test=0.973) average_precision: (test=0.686) balanced_accuracy: (test=0.822) f1: (test=0.702) roc_auc: (test=0.899) 2.00min
[fit 33/34] END n_estimators=330; total=3654, TP=112, TN=3441, FP=39, FN=62; precision=0.742, recall=0.644
accuracy: (test=0.972) average_precision: (test=0.680) balanced_accuracy: (test=0.816) f1: (test=0.689) roc_auc: (test=0.905) 2.13min
[fit 34/34] END n_estimators=340; total=3654, TP=112, TN=3444, FP=36, FN=62; precision=0.757, recall=0.644
accuracy: (test=0.973) average_precision: (test=0.685) balanced_accuracy: (test=0.817) f1: (test=0.696) roc_auc: (test=0.908) 2.10min
clf.best_estimator_params: {'n_estimators': 70}
best params found in line [8] for metric [roc_auc] in rank file
best params found in fit [7] for metric [roc_auc] in run_and_score file
clf.best_scoring_result: [Total: (test=3654) TP: (test=111.000) TN: (test=3438.000) FP: (test=42.000) FN: (test=63.000) precision: (test=0.725) recall: (test=0.638) accuracy: (test=0.971) average_precision: (test=0.663) balanced_accuracy: (test=0.813) f1: (test=0.679) roc_auc: (test=0.910) ]
write rank test to csv!!!
write over!!!
第二次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 70, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 150 fits
[fit 1/150] END max_depth=None; total=3654, TP=107, TN=3440, FP=40, FN=67; precision=0.728, recall=0.615
accuracy: (test=0.971) average_precision: (test=0.668) balanced_accuracy: (test=0.802) f1: (test=0.667) roc_auc: (test=0.898) 25.55s
[fit 2/150] END max_depth=1; total=3654, TP=105, TN=1699, FP=1781, FN=69; precision=0.056, recall=0.603
accuracy: (test=0.494) average_precision: (test=0.060) balanced_accuracy: (test=0.546) f1: (test=0.102) roc_auc: (test=0.583) 2.57s
[fit 3/150] END max_depth=2; total=3654, TP=109, TN=1758, FP=1722, FN=65; precision=0.060, recall=0.626
accuracy: (test=0.511) average_precision: (test=0.083) balanced_accuracy: (test=0.566) f1: (test=0.109) roc_auc: (test=0.593) 4.19s
[fit 4/150] END max_depth=3; total=3654, TP=99, TN=1890, FP=1590, FN=75; precision=0.059, recall=0.569
accuracy: (test=0.544) average_precision: (test=0.100) balanced_accuracy: (test=0.556) f1: (test=0.106) roc_auc: (test=0.607) 6.03s
[fit 5/150] END max_depth=4; total=3654, TP=100, TN=1954, FP=1526, FN=74; precision=0.062, recall=0.575
accuracy: (test=0.562) average_precision: (test=0.113) balanced_accuracy: (test=0.568) f1: (test=0.111) roc_auc: (test=0.628) 7.33s
[fit 6/150] END max_depth=5; total=3654, TP=102, TN=2109, FP=1371, FN=72; precision=0.069, recall=0.586
accuracy: (test=0.605) average_precision: (test=0.150) balanced_accuracy: (test=0.596) f1: (test=0.124) roc_auc: (test=0.661) 8.72s
[fit 7/150] END max_depth=6; total=3654, TP=104, TN=2277, FP=1203, FN=70; precision=0.080, recall=0.598
accuracy: (test=0.652) average_precision: (test=0.165) balanced_accuracy: (test=0.626) f1: (test=0.140) roc_auc: (test=0.682) 9.90s
[fit 8/150] END max_depth=7; total=3654, TP=99, TN=2390, FP=1090, FN=75; precision=0.083, recall=0.569
accuracy: (test=0.681) average_precision: (test=0.213) balanced_accuracy: (test=0.628) f1: (test=0.145) roc_auc: (test=0.711) 11.54s
[fit 9/150] END max_depth=8; total=3654, TP=108, TN=2572, FP=908, FN=66; precision=0.106, recall=0.621
accuracy: (test=0.733) average_precision: (test=0.239) balanced_accuracy: (test=0.680) f1: (test=0.182) roc_auc: (test=0.755) 11.99s
[fit 10/150] END max_depth=9; total=3654, TP=110, TN=2697, FP=783, FN=64; precision=0.123, recall=0.632
accuracy: (test=0.768) average_precision: (test=0.287) balanced_accuracy: (test=0.704) f1: (test=0.206) roc_auc: (test=0.781) 14.00s
[fit 11/150] END max_depth=10; total=3654, TP=115, TN=2840, FP=640, FN=59; precision=0.152, recall=0.661
accuracy: (test=0.809) average_precision: (test=0.322) balanced_accuracy: (test=0.739) f1: (test=0.248) roc_auc: (test=0.807) 14.75s
[fit 12/150] END max_depth=11; total=3654, TP=117, TN=2962, FP=518, FN=57; precision=0.184, recall=0.672
accuracy: (test=0.843) average_precision: (test=0.363) balanced_accuracy: (test=0.762) f1: (test=0.289) roc_auc: (test=0.830) 16.71s
[fit 13/150] END max_depth=12; total=3654, TP=120, TN=3095, FP=385, FN=54; precision=0.238, recall=0.690
accuracy: (test=0.880) average_precision: (test=0.438) balanced_accuracy: (test=0.790) f1: (test=0.353) roc_auc: (test=0.854) 17.34s
[fit 14/150] END max_depth=13; total=3654, TP=123, TN=3141, FP=339, FN=51; precision=0.266, recall=0.707
accuracy: (test=0.893) average_precision: (test=0.468) balanced_accuracy: (test=0.805) f1: (test=0.387) roc_auc: (test=0.864) 18.31s
[fit 15/150] END max_depth=14; total=3654, TP=116, TN=3216, FP=264, FN=58; precision=0.305, recall=0.667
accuracy: (test=0.912) average_precision: (test=0.501) balanced_accuracy: (test=0.795) f1: (test=0.419) roc_auc: (test=0.866) 19.44s
[fit 16/150] END max_depth=15; total=3654, TP=117, TN=3245, FP=235, FN=57; precision=0.332, recall=0.672
accuracy: (test=0.920) average_precision: (test=0.548) balanced_accuracy: (test=0.802) f1: (test=0.445) roc_auc: (test=0.874) 20.44s
[fit 17/150] END max_depth=16; total=3654, TP=120, TN=3308, FP=172, FN=54; precision=0.411, recall=0.690
accuracy: (test=0.938) average_precision: (test=0.573) balanced_accuracy: (test=0.820) f1: (test=0.515) roc_auc: (test=0.884) 20.01s
[fit 18/150] END max_depth=17; total=3654, TP=117, TN=3341, FP=139, FN=57; precision=0.457, recall=0.672
accuracy: (test=0.946) average_precision: (test=0.589) balanced_accuracy: (test=0.816) f1: (test=0.544) roc_auc: (test=0.880) 21.36s
[fit 19/150] END max_depth=18; total=3654, TP=118, TN=3358, FP=122, FN=56; precision=0.492, recall=0.678
accuracy: (test=0.951) average_precision: (test=0.624) balanced_accuracy: (test=0.822) f1: (test=0.570) roc_auc: (test=0.885) 21.97s
[fit 20/150] END max_depth=19; total=3654, TP=118, TN=3379, FP=101, FN=56; precision=0.539, recall=0.678
accuracy: (test=0.957) average_precision: (test=0.628) balanced_accuracy: (test=0.825) f1: (test=0.601) roc_auc: (test=0.892) 22.70s
[fit 21/150] END max_depth=20; total=3654, TP=111, TN=3402, FP=78, FN=63; precision=0.587, recall=0.638
accuracy: (test=0.961) average_precision: (test=0.639) balanced_accuracy: (test=0.808) f1: (test=0.612) roc_auc: (test=0.895) 23.30s
[fit 22/150] END max_depth=21; total=3654, TP=111, TN=3396, FP=84, FN=63; precision=0.569, recall=0.638
accuracy: (test=0.960) average_precision: (test=0.639) balanced_accuracy: (test=0.807) f1: (test=0.602) roc_auc: (test=0.890) 23.61s
[fit 23/150] END max_depth=22; total=3654, TP=114, TN=3410, FP=70, FN=60; precision=0.620, recall=0.655
accuracy: (test=0.964) average_precision: (test=0.657) balanced_accuracy: (test=0.818) f1: (test=0.637) roc_auc: (test=0.903) 24.57s
[fit 24/150] END max_depth=23; total=3654, TP=112, TN=3418, FP=62, FN=62; precision=0.644, recall=0.644
accuracy: (test=0.966) average_precision: (test=0.661) balanced_accuracy: (test=0.813) f1: (test=0.644) roc_auc: (test=0.898) 23.87s
[fit 25/150] END max_depth=24; total=3654, TP=113, TN=3424, FP=56, FN=61; precision=0.669, recall=0.649
accuracy: (test=0.968) average_precision: (test=0.666) balanced_accuracy: (test=0.817) f1: (test=0.659) roc_auc: (test=0.912) 24.38s
[fit 26/150] END max_depth=25; total=3654, TP=116, TN=3429, FP=51, FN=58; precision=0.695, recall=0.667
accuracy: (test=0.970) average_precision: (test=0.674) balanced_accuracy: (test=0.826) f1: (test=0.680) roc_auc: (test=0.903) 24.14s
[fit 27/150] END max_depth=26; total=3654, TP=115, TN=3433, FP=47, FN=59; precision=0.710, recall=0.661
