nohup: ignoring input
experiment: HUVEC pseknc_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 2, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 24/34] END n_estimators=240; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.575) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.891) 3.11min
[fit 25/34] END n_estimators=250; total=3192, TP=69, TN=3014, FP=26, FN=83; precision=0.726, recall=0.454
accuracy: (test=0.966) average_precision: (test=0.560) balanced_accuracy: (test=0.723) f1: (test=0.559) roc_auc: (test=0.889) 3.25min
[fit 26/34] END n_estimators=260; total=3192, TP=63, TN=3009, FP=31, FN=89; precision=0.670, recall=0.414
accuracy: (test=0.962) average_precision: (test=0.565) balanced_accuracy: (test=0.702) f1: (test=0.512) roc_auc: (test=0.896) 3.38min
[fit 27/34] END n_estimators=270; total=3192, TP=68, TN=3012, FP=28, FN=84; precision=0.708, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.575) balanced_accuracy: (test=0.719) f1: (test=0.548) roc_auc: (test=0.888) 3.51min
[fit 28/34] END n_estimators=280; total=3192, TP=65, TN=3014, FP=26, FN=87; precision=0.714, recall=0.428
accuracy: (test=0.965) average_precision: (test=0.573) balanced_accuracy: (test=0.710) f1: (test=0.535) roc_auc: (test=0.899) 3.54min
[fit 29/34] END n_estimators=290; total=3192, TP=66, TN=3009, FP=31, FN=86; precision=0.680, recall=0.434
accuracy: (test=0.963) average_precision: (test=0.562) balanced_accuracy: (test=0.712) f1: (test=0.530) roc_auc: (test=0.885) 3.74min
[fit 30/34] END n_estimators=300; total=3192, TP=65, TN=3014, FP=26, FN=87; precision=0.714, recall=0.428
accuracy: (test=0.965) average_precision: (test=0.571) balanced_accuracy: (test=0.710) f1: (test=0.535) roc_auc: (test=0.888) 3.85min
[fit 31/34] END n_estimators=310; total=3192, TP=64, TN=3011, FP=29, FN=88; precision=0.688, recall=0.421
