nohup: ignoring input
experiment: IMR90 pseknc_rf
trainSet len:[X=45080,y=45080]
testSet len:[X=2625,y=2625]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 2, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 24/34] END n_estimators=240; total=2625, TP=70, TN=2485, FP=15, FN=55; precision=0.824, recall=0.560
accuracy: (test=0.973) average_precision: (test=0.683) balanced_accuracy: (test=0.777) f1: (test=0.667) roc_auc: (test=0.908) 2.40min
[fit 25/34] END n_estimators=250; total=2625, TP=67, TN=2485, FP=15, FN=58; precision=0.817, recall=0.536
accuracy: (test=0.972) average_precision: (test=0.688) balanced_accuracy: (test=0.765) f1: (test=0.647) roc_auc: (test=0.910) 2.52min
[fit 26/34] END n_estimators=260; total=2625, TP=68, TN=2485, FP=15, FN=57; precision=0.819, recall=0.544
accuracy: (test=0.973) average_precision: (test=0.692) balanced_accuracy: (test=0.769) f1: (test=0.654) roc_auc: (test=0.914) 2.63min
[fit 27/34] END n_estimators=270; total=2625, TP=68, TN=2486, FP=14, FN=57; precision=0.829, recall=0.544
accuracy: (test=0.973) average_precision: (test=0.699) balanced_accuracy: (test=0.769) f1: (test=0.657) roc_auc: (test=0.923) 2.70min
[fit 28/34] END n_estimators=280; total=2625, TP=68, TN=2484, FP=16, FN=57; precision=0.810, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.690) balanced_accuracy: (test=0.769) f1: (test=0.651) roc_auc: (test=0.924) 2.82min
[fit 29/34] END n_estimators=290; total=2625, TP=70, TN=2487, FP=13, FN=55; precision=0.843, recall=0.560
accuracy: (test=0.974) average_precision: (test=0.691) balanced_accuracy: (test=0.777) f1: (test=0.673) roc_auc: (test=0.915) 2.95min
[fit 30/34] END n_estimators=300; total=2625, TP=70, TN=2486, FP=14, FN=55; precision=0.833, recall=0.560
accuracy: (test=0.974) average_precision: (test=0.700) balanced_accuracy: (test=0.777) f1: (test=0.670) roc_auc: (test=0.916) 3.07min
[fit 31/34] END n_estimators=310; total=2625, TP=68, TN=2483, FP=17, FN=57; precision=0.800, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.685) balanced_accuracy: (test=0.769) f1: (test=0.648) roc_auc: (test=0.909) 3.12min
[fit 32/34] END n_estimators=320; total=2625, TP=68, TN=2484, FP=16, FN=57; precision=0.810, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.697) balanced_accuracy: (test=0.769) f1: (test=0.651) roc_auc: (test=0.917) 3.18min
[fit 33/34] END n_estimators=330; total=2625, TP=68, TN=2485, FP=15, FN=57; precision=0.819, recall=0.544
accuracy: (test=0.973) average_precision: (test=0.701) balanced_accuracy: (test=0.769) f1: (test=0.654) roc_auc: (test=0.910) 3.27min
[fit 34/34] END n_estimators=340; total=2625, TP=69, TN=2484, FP=16, FN=56; precision=0.812, recall=0.552
accuracy: (test=0.973) average_precision: (test=0.691) balanced_accuracy: (test=0.773) f1: (test=0.657) roc_auc: (test=0.913) 3.42min
clf.best_estimator_params: {'n_estimators': 280}
best params found in line [29] for metric [roc_auc] in rank file
best params found in fit [28] for metric [roc_auc] in run_and_score file
clf.best_scoring_result: [Total: (test=2625) TP: (test=68.000) TN: (test=2484.000) FP: (test=16.000) FN: (test=57.000) precision: (test=0.810) recall: (test=0.544) accuracy: (test=0.972) average_precision: (test=0.690) balanced_accuracy: (test=0.769) f1: (test=0.651) roc_auc: (test=0.924) ]
write rank test to csv!!!
write over!!!
第二次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 280, 'n_jobs': 2, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 150 fits
[fit 1/150] END max_depth=None; total=2625, TP=67, TN=2487, FP=13, FN=58; precision=0.838, recall=0.536
accuracy: (test=0.973) average_precision: (test=0.688) balanced_accuracy: (test=0.765) f1: (test=0.654) roc_auc: (test=0.901) 2.81min
[fit 2/150] END max_depth=1; total=2625, TP=74, TN=1196, FP=1304, FN=51; precision=0.054, recall=0.592
accuracy: (test=0.484) average_precision: (test=0.062) balanced_accuracy: (test=0.535) f1: (test=0.098) roc_auc: (test=0.553) 14.03s
[fit 3/150] END max_depth=2; total=2625, TP=71, TN=1296, FP=1204, FN=54; precision=0.056, recall=0.568
accuracy: (test=0.521) average_precision: (test=0.082) balanced_accuracy: (test=0.543) f1: (test=0.101) roc_auc: (test=0.585) 26.13s
[fit 4/150] END max_depth=3; total=2625, TP=69, TN=1455, FP=1045, FN=56; precision=0.062, recall=0.552
accuracy: (test=0.581) average_precision: (test=0.101) balanced_accuracy: (test=0.567) f1: (test=0.111) roc_auc: (test=0.611) 38.43s
[fit 5/150] END max_depth=4; total=2625, TP=67, TN=1645, FP=855, FN=58; precision=0.073, recall=0.536
accuracy: (test=0.652) average_precision: (test=0.122) balanced_accuracy: (test=0.597) f1: (test=0.128) roc_auc: (test=0.660) 49.69s
[fit 6/150] END max_depth=5; total=2625, TP=68, TN=1881, FP=619, FN=57; precision=0.099, recall=0.544
accuracy: (test=0.742) average_precision: (test=0.185) balanced_accuracy: (test=0.648) f1: (test=0.167) roc_auc: (test=0.696) 1.00min
[fit 7/150] END max_depth=6; total=2625, TP=72, TN=2102, FP=398, FN=53; precision=0.153, recall=0.576
accuracy: (test=0.828) average_precision: (test=0.249) balanced_accuracy: (test=0.708) f1: (test=0.242) roc_auc: (test=0.758) 1.19min
[fit 8/150] END max_depth=7; total=2625, TP=66, TN=2226, FP=274, FN=59; precision=0.194, recall=0.528
accuracy: (test=0.873) average_precision: (test=0.328) balanced_accuracy: (test=0.709) f1: (test=0.284) roc_auc: (test=0.792) 1.33min
[fit 9/150] END max_depth=8; total=2625, TP=68, TN=2363, FP=137, FN=57; precision=0.332, recall=0.544
accuracy: (test=0.926) average_precision: (test=0.398) balanced_accuracy: (test=0.745) f1: (test=0.412) roc_auc: (test=0.825) 1.50min
[fit 10/150] END max_depth=9; total=2625, TP=70, TN=2425, FP=75, FN=55; precision=0.483, recall=0.560
accuracy: (test=0.950) average_precision: (test=0.474) balanced_accuracy: (test=0.765) f1: (test=0.519) roc_auc: (test=0.849) 1.62min
[fit 11/150] END max_depth=10; total=2625, TP=68, TN=2432, FP=68, FN=57; precision=0.500, recall=0.544
accuracy: (test=0.952) average_precision: (test=0.543) balanced_accuracy: (test=0.758) f1: (test=0.521) roc_auc: (test=0.869) 1.75min
[fit 12/150] END max_depth=11; total=2625, TP=72, TN=2449, FP=51, FN=53; precision=0.585, recall=0.576
accuracy: (test=0.960) average_precision: (test=0.590) balanced_accuracy: (test=0.778) f1: (test=0.581) roc_auc: (test=0.877) 1.89min
[fit 13/150] END max_depth=12; total=2625, TP=69, TN=2455, FP=45, FN=56; precision=0.605, recall=0.552
accuracy: (test=0.962) average_precision: (test=0.620) balanced_accuracy: (test=0.767) f1: (test=0.577) roc_auc: (test=0.886) 2.01min
[fit 14/150] END max_depth=13; total=2625, TP=71, TN=2460, FP=40, FN=54; precision=0.640, recall=0.568
accuracy: (test=0.964) average_precision: (test=0.646) balanced_accuracy: (test=0.776) f1: (test=0.602) roc_auc: (test=0.887) 2.08min
[fit 15/150] END max_depth=14; total=2625, TP=70, TN=2465, FP=35, FN=55; precision=0.667, recall=0.560
accuracy: (test=0.966) average_precision: (test=0.661) balanced_accuracy: (test=0.773) f1: (test=0.609) roc_auc: (test=0.887) 2.19min
[fit 16/150] END max_depth=15; total=2625, TP=69, TN=2469, FP=31, FN=56; precision=0.690, recall=0.552
accuracy: (test=0.967) average_precision: (test=0.670) balanced_accuracy: (test=0.770) f1: (test=0.613) roc_auc: (test=0.897) 2.24min
[fit 17/150] END max_depth=16; total=2625, TP=67, TN=2467, FP=33, FN=58; precision=0.670, recall=0.536
