params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'reg_alpha': 1, 'reg_lambda': 3}",0.8355263157894737,0.9088221693750825,0.9013670809600394,0.8563218390804598,0.8563218390804598,1,67,65,1,1
"{'reg_alpha': 2, 'reg_lambda': 0}",0.8355263157894737,0.9295316422248646,0.9253892317536848,0.8563218390804598,0.8563218390804598,1,13,3,1,1
"{'reg_alpha': 2, 'reg_lambda': 0.01}",0.8316831683168318,0.9307372175980976,0.9192661065150143,0.853448275862069,0.853448275862069,79,9,20,79,79
"{'reg_alpha': 2, 'reg_lambda': 0.02}",0.8355263157894737,0.9275829039503237,0.9233076177953863,0.8563218390804598,0.8563218390804598,1,18,8,1,1
"{'reg_alpha': 2, 'reg_lambda': 0.05}",0.8355263157894737,0.9160886510767603,0.9146264572373004,0.8563218390804598,0.8563218390804598,1,50,46,1,1
"{'reg_alpha': 2, 'reg_lambda': 0.1}",0.8355263157894737,0.9308528207160788,0.9190984731071528,0.8563218390804598,0.8563218390804598,1,7,21,1,1
"{'reg_alpha': 2, 'reg_lambda': 0.5}",0.8355263157894737,0.9244616197648302,0.9162494468723925,0.8563218390804598,0.8563218390804598,1,35,33,1,1
"{'reg_alpha': 2, 'reg_lambda': 1}",0.8355263157894737,0.9314143215748448,0.9224810920649673,0.8563218390804598,0.8563218390804598,1,6,11,1,1
"{'reg_alpha': 2, 'reg_lambda': 2}",0.8355263157894737,0.9289701413660987,0.9224277801165233,0.8563218390804598,0.8563218390804598,1,15,12,1,1
"{'reg_alpha': 2, 'reg_lambda': 3}",0.8355263157894737,0.9115471000132117,0.904623952645585,0.8563218390804598,0.8563218390804598,1,60,63,1,1
"{'reg_alpha': 3, 'reg_lambda': 0}",0.8355263157894737,0.9245607081516712,0.9163252848659444,0.8563218390804598,0.8563218390804598,1,33,31,1,1
"{'reg_alpha': 3, 'reg_lambda': 0.01}",0.8355263157894737,0.9301757167393315,0.9236990488228611,0.8563218390804598,0.8563218390804598,1,11,7,1,1
"{'reg_alpha': 3, 'reg_lambda': 0.02}",0.8355263157894737,0.9273021535209407,0.9209421337561345,0.8563218390804598,0.8563218390804598,1,21,17,1,1
"{'reg_alpha': 3, 'reg_lambda': 0.05}",0.8355263157894737,0.9306216144801163,0.9210967767740921,0.8563218390804598,0.8563218390804598,1,10,16,1,1
"{'reg_alpha': 3, 'reg_lambda': 0.1}",0.8316831683168318,0.9291187739463602,0.9240811862064016,0.853448275862069,0.853448275862069,79,14,5,79,79
"{'reg_alpha': 3, 'reg_lambda': 0.5}",0.8355263157894737,0.9267241379310345,0.9159188706978116,0.8563218390804598,0.8563218390804598,1,24,36,1,1
"{'reg_alpha': 3, 'reg_lambda': 1}",0.8355263157894737,0.9262782401902498,0.9173459097369758,0.8563218390804598,0.8563218390804598,1,30,25,1,1
"{'reg_alpha': 3, 'reg_lambda': 2}",0.8355263157894737,0.9239166336372043,0.9149738646451979,0.8563218390804598,0.8563218390804598,1,37,42,1,1
"{'reg_alpha': 3, 'reg_lambda': 3}",0.8355263157894737,0.9308528207160788,0.9198258868821925,0.8563218390804598,0.8563218390804598,1,7,18,1,1
