params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'reg_alpha': 2, 'reg_lambda': 0}",0.8372093023255816,0.9063198605025484,0.9087953398495662,0.851063829787234,0.8512697844943218,10,55,49,10,17
"{'reg_alpha': 2, 'reg_lambda': 0.01}",0.8372093023255816,0.9063198605025484,0.9087953398495662,0.851063829787234,0.8512697844943218,10,55,49,10,17
"{'reg_alpha': 2, 'reg_lambda': 0.02}",0.8372093023255816,0.9066104801931503,0.90917163674571,0.851063829787234,0.8512697844943218,10,7,3,10,17
"{'reg_alpha': 2, 'reg_lambda': 0.05}",0.8341968911917098,0.9062304390592864,0.9086880972937594,0.8486997635933806,0.848911293928284,73,67,62,73,75
"{'reg_alpha': 2, 'reg_lambda': 0.1}",0.8363636363636364,0.90671107931682,0.9089064502016881,0.851063829787234,0.8512809621747295,66,4,11,10,10
"{'reg_alpha': 2, 'reg_lambda': 0.5}",0.8372093023255816,0.9063645712241795,0.908840310585286,0.851063829787234,0.8512697844943218,10,19,31,10,17
"{'reg_alpha': 2, 'reg_lambda': 1}",0.8372093023255816,0.9051126710185102,0.9079854267681963,0.851063829787234,0.8512697844943218,10,75,74,10,17
"{'reg_alpha': 2, 'reg_lambda': 2}",0.8341968911917098,0.9046543861217919,0.9072427180452591,0.8486997635933806,0.848911293928284,73,79,79,73,75
"{'reg_alpha': 2, 'reg_lambda': 3}",0.8372093023255816,0.9064539926674416,0.9089083771726592,0.851063829787234,0.8512697844943218,10,14,10,10,17
"{'reg_alpha': 3, 'reg_lambda': 0}",0.8372093023255816,0.9063645712241795,0.908840310585286,0.851063829787234,0.8512697844943218,10,19,31,10,17
"{'reg_alpha': 3, 'reg_lambda': 0.01}",0.8372093023255816,0.9063645712241795,0.908840310585286,0.851063829787234,0.8512697844943218,10,19,31,10,17
"{'reg_alpha': 3, 'reg_lambda': 0.02}",0.8372093023255816,0.9063645712241795,0.908840310585286,0.851063829787234,0.8512697844943218,10,19,31,10,17
"{'reg_alpha': 3, 'reg_lambda': 0.05}",0.8372093023255816,0.9063645712241795,0.908840310585286,0.851063829787234,0.8512697844943218,10,19,31,10,17
"{'reg_alpha': 3, 'reg_lambda': 0.1}",0.8372093023255816,0.9063645712241795,0.908840310585286,0.851063829787234,0.8512697844943218,10,19,31,10,17
"{'reg_alpha': 3, 'reg_lambda': 0.5}",0.8372093023255816,0.9063533935437718,0.9085961325993226,0.851063829787234,0.8512697844943218,10,50,66,10,17
"{'reg_alpha': 3, 'reg_lambda': 1}",0.8372093023255816,0.9064763480282572,0.9089317715611438,0.851063829787234,0.8512697844943218,10,12,7,10,17
"{'reg_alpha': 3, 'reg_lambda': 2}",0.8372093023255816,0.9064763480282572,0.9089317715611438,0.851063829787234,0.8512697844943218,10,12,7,10,17
"{'reg_alpha': 3, 'reg_lambda': 3}",0.8372093023255816,0.9064539926674416,0.9089036071168395,0.851063829787234,0.8512697844943218,10,14,12,10,17
