params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'colsample_bytree': 0.6, 'subsample': 0.6}",0.8341968911917098,0.9037713493695788,0.9070587064831204,0.8486997635933806,0.848911293928284,7,7,5,4,5
"{'colsample_bytree': 0.6, 'subsample': 0.7}",0.8372093023255816,0.9063198605025484,0.9087905470636594,0.851063829787234,0.8512697844943218,3,1,1,2,2
"{'colsample_bytree': 0.6, 'subsample': 0.8}",0.8201058201058201,0.903290709112045,0.9047632866366455,0.8392434988179669,0.8394996870249486,11,12,12,11,12
"{'colsample_bytree': 0.6, 'subsample': 0.9}",0.8010899182561307,0.900384512206027,0.9026001817647897,0.8274231678486997,0.8277407672359832,16,16,16,16,16
"{'colsample_bytree': 0.7, 'subsample': 0.6}",0.8350515463917526,0.9038384154520254,0.9072509660311008,0.8486997635933806,0.8489001162478762,4,6,4,4,7
"{'colsample_bytree': 0.7, 'subsample': 0.7}",0.8402061855670104,0.9037266386479477,0.9067994949758249,0.8534278959810875,0.8536282750603594,1,9,8,1,1
"{'colsample_bytree': 0.7, 'subsample': 0.8}",0.8232189973614776,0.9047214522042385,0.9060260599946401,0.8416075650118203,0.8418581775909864,10,4,9,10,10
"{'colsample_bytree': 0.7, 'subsample': 0.9}",0.8150134048257373,0.9045649646785299,0.9056915157465704,0.8368794326241135,0.8371635518197263,14,5,10,13,13
"{'colsample_bytree': 0.8, 'subsample': 0.6}",0.8350515463917526,0.9036372172046856,0.9068453514727761,0.8486997635933806,0.8489001162478762,4,10,7,4,7
"{'colsample_bytree': 0.8, 'subsample': 0.7}",0.8341968911917098,0.904743807565054,0.9073852613381037,0.8486997635933806,0.848911293928284,7,2,3,4,5
"{'colsample_bytree': 0.8, 'subsample': 0.8}",0.8169761273209549,0.9037266386479478,0.9051903781182548,0.8368794326241135,0.8371411964589108,13,8,11,13,14
"{'colsample_bytree': 0.8, 'subsample': 0.9}",0.8054054054054054,0.9025306268443172,0.9039578850116965,0.8297872340425532,0.8300880801216132,15,15,15,15,15
"{'colsample_bytree': 0.9, 'subsample': 0.6}",0.8350515463917526,0.9033465975140837,0.9068980260882354,0.8486997635933806,0.8489001162478762,4,11,6,4,7
"{'colsample_bytree': 0.9, 'subsample': 0.7}",0.8380462724935732,0.904743807565054,0.9074915568087971,0.851063829787234,0.851258606813914,2,2,2,2,3
"{'colsample_bytree': 0.9, 'subsample': 0.8}",0.8333333333333334,0.9030224447822588,0.9044730044968674,0.8486997635933806,0.8489224716086918,9,13,14,4,4
"{'colsample_bytree': 0.9, 'subsample': 0.9}",0.8181818181818182,0.9030224447822588,0.9045280085593776,0.8392434988179669,0.8395220423857641,12,13,13,11,11
