nohup: ignoring input
experiment: HUVEC cksnap_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 24/34] END n_estimators=240; total=3192, TP=63, TN=2998, FP=42, FN=89; precision=0.600, recall=0.414
accuracy: (test=0.959) average_precision: (test=0.500) balanced_accuracy: (test=0.700) f1: (test=0.490) roc_auc: (test=0.847) 49.08s
[fit 25/34] END n_estimators=250; total=3192, TP=64, TN=2998, FP=42, FN=88; precision=0.604, recall=0.421
accuracy: (test=0.959) average_precision: (test=0.503) balanced_accuracy: (test=0.704) f1: (test=0.496) roc_auc: (test=0.850) 52.55s
[fit 26/34] END n_estimators=260; total=3192, TP=65, TN=2997, FP=43, FN=87; precision=0.602, recall=0.428
accuracy: (test=0.959) average_precision: (test=0.506) balanced_accuracy: (test=0.707) f1: (test=0.500) roc_auc: (test=0.848) 53.43s
[fit 27/34] END n_estimators=270; total=3192, TP=63, TN=2994, FP=46, FN=89; precision=0.578, recall=0.414
accuracy: (test=0.958) average_precision: (test=0.499) balanced_accuracy: (test=0.700) f1: (test=0.483) roc_auc: (test=0.854) 57.51s
[fit 28/34] END n_estimators=280; total=3192, TP=68, TN=3002, FP=38, FN=84; precision=0.642, recall=0.447
accuracy: (test=0.962) average_precision: (test=0.505) balanced_accuracy: (test=0.717) f1: (test=0.527) roc_auc: (test=0.851) 59.02s
[fit 29/34] END n_estimators=290; total=3192, TP=64, TN=2997, FP=43, FN=88; precision=0.598, recall=0.421
accuracy: (test=0.959) average_precision: (test=0.507) balanced_accuracy: (test=0.703) f1: (test=0.494) roc_auc: (test=0.845) 1.00min
[fit 30/34] END n_estimators=300; total=3192, TP=63, TN=2997, FP=43, FN=89; precision=0.594, recall=0.414
accuracy: (test=0.959) average_precision: (test=0.501) balanced_accuracy: (test=0.700) f1: (test=0.488) roc_auc: (test=0.847) 1.03min
[fit 31/34] END n_estimators=310; total=3192, TP=65, TN=3000, FP=40, FN=87; precision=0.619, recall=0.428
accuracy: (test=0.960) average_precision: (test=0.506) balanced_accuracy: (test=0.707) f1: (test=0.506) roc_auc: (test=0.851) 1.10min
[fit 32/34] END n_estimators=320; total=3192, TP=62, TN=2999, FP=41, FN=90; precision=0.602, recall=0.408
accuracy: (test=0.959) average_precision: (test=0.499) balanced_accuracy: (test=0.697) f1: (test=0.486) roc_auc: (test=0.844) 1.10min
[fit 33/34] END n_estimators=330; total=3192, TP=65, TN=3000, FP=40, FN=87; precision=0.619, recall=0.428
accuracy: (test=0.960) average_precision: (test=0.506) balanced_accuracy: (test=0.707) f1: (test=0.506) roc_auc: (test=0.852) 1.15min
[fit 34/34] END n_estimators=340; total=3192, TP=62, TN=3001, FP=39, FN=90; precision=0.614, recall=0.408
