nohup: ignoring input
experiment: IMR90 pseknc-new_rf
trainSet len:[X=45080,y=45080]
testSet len:[X=2625,y=2625]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 5, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
accuracy: (test=0.972) average_precision: (test=0.697) balanced_accuracy: (test=0.757) f1: (test=0.640) roc_auc: (test=0.920) 1.06min
[fit 24/34] END n_estimators=240; total=2625, TP=68, TN=2482, FP=18, FN=57; precision=0.791, recall=0.544
accuracy: (test=0.971) average_precision: (test=0.684) balanced_accuracy: (test=0.768) f1: (test=0.645) roc_auc: (test=0.905) 1.11min
[fit 25/34] END n_estimators=250; total=2625, TP=70, TN=2482, FP=18, FN=55; precision=0.795, recall=0.560
accuracy: (test=0.972) average_precision: (test=0.683) balanced_accuracy: (test=0.776) f1: (test=0.657) roc_auc: (test=0.908) 1.12min
[fit 26/34] END n_estimators=260; total=2625, TP=67, TN=2484, FP=16, FN=58; precision=0.807, recall=0.536
accuracy: (test=0.972) average_precision: (test=0.693) balanced_accuracy: (test=0.765) f1: (test=0.644) roc_auc: (test=0.895) 1.20min
[fit 27/34] END n_estimators=270; total=2625, TP=69, TN=2483, FP=17, FN=56; precision=0.802, recall=0.552
accuracy: (test=0.972) average_precision: (test=0.688) balanced_accuracy: (test=0.773) f1: (test=0.654) roc_auc: (test=0.910) 1.24min
[fit 28/34] END n_estimators=280; total=2625, TP=67, TN=2486, FP=14, FN=58; precision=0.827, recall=0.536
accuracy: (test=0.973) average_precision: (test=0.688) balanced_accuracy: (test=0.765) f1: (test=0.650) roc_auc: (test=0.910) 1.28min
[fit 29/34] END n_estimators=290; total=2625, TP=69, TN=2485, FP=15, FN=56; precision=0.821, recall=0.552
accuracy: (test=0.973) average_precision: (test=0.690) balanced_accuracy: (test=0.773) f1: (test=0.660) roc_auc: (test=0.911) 1.33min
[fit 30/34] END n_estimators=300; total=2625, TP=67, TN=2483, FP=17, FN=58; precision=0.798, recall=0.536
accuracy: (test=0.971) average_precision: (test=0.691) balanced_accuracy: (test=0.765) f1: (test=0.641) roc_auc: (test=0.921) 1.36min
[fit 31/34] END n_estimators=310; total=2625, TP=70, TN=2486, FP=14, FN=55; precision=0.833, recall=0.560
accuracy: (test=0.974) average_precision: (test=0.693) balanced_accuracy: (test=0.777) f1: (test=0.670) roc_auc: (test=0.908) 1.45min
[fit 32/34] END n_estimators=320; total=2625, TP=69, TN=2482, FP=18, FN=56; precision=0.793, recall=0.552
accuracy: (test=0.972) average_precision: (test=0.692) balanced_accuracy: (test=0.772) f1: (test=0.651) roc_auc: (test=0.913) 1.48min
[fit 33/34] END n_estimators=330; total=2625, TP=69, TN=2483, FP=17, FN=56; precision=0.802, recall=0.552
accuracy: (test=0.972) average_precision: (test=0.690) balanced_accuracy: (test=0.773) f1: (test=0.654) roc_auc: (test=0.911) 1.52min
[fit 34/34] END n_estimators=340; total=2625, TP=67, TN=2486, FP=14, FN=58; precision=0.827, recall=0.536
accuracy: (test=0.973) average_precision: (test=0.689) balanced_accuracy: (test=0.765) f1: (test=0.650) roc_auc: (test=0.903) 1.56min
clf.best_estimator_params: {'n_estimators': 80}
best params found in line [9] for metric [roc_auc] in rank file
best params found in fit [8] for metric [roc_auc] in run_and_score file
clf.best_scoring_result: [Total: (test=2625) TP: (test=65.000) TN: (test=2485.000) FP: (test=15.000) FN: (test=60.000) precision: (test=0.812) recall: (test=0.520) accuracy: (test=0.971) average_precision: (test=0.676) balanced_accuracy: (test=0.757) f1: (test=0.634) roc_auc: (test=0.926) ]
write rank test to csv!!!
../../ex/epivan/base/pseknc-new_rf_base/rank/IMR90_pseknc-new_rf_base_rank_1_3070.csv write over!!!
第二次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 80, 'n_jobs': 5, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 150 fits
[fit 1/150] END max_depth=None; total=2625, TP=63, TN=2484, FP=16, FN=62; precision=0.797, recall=0.504
accuracy: (test=0.970) average_precision: (test=0.686) balanced_accuracy: (test=0.749) f1: (test=0.618) roc_auc: (test=0.903) 22.22s
[fit 2/150] END max_depth=1; total=2625, TP=74, TN=1271, FP=1229, FN=51; precision=0.057, recall=0.592
accuracy: (test=0.512) average_precision: (test=0.060) balanced_accuracy: (test=0.550) f1: (test=0.104) roc_auc: (test=0.559) 3.23s
[fit 3/150] END max_depth=2; total=2625, TP=71, TN=1329, FP=1171, FN=54; precision=0.057, recall=0.568
accuracy: (test=0.533) average_precision: (test=0.077) balanced_accuracy: (test=0.550) f1: (test=0.104) roc_auc: (test=0.585) 4.45s
[fit 4/150] END max_depth=3; total=2625, TP=72, TN=1455, FP=1045, FN=53; precision=0.064, recall=0.576
accuracy: (test=0.582) average_precision: (test=0.108) balanced_accuracy: (test=0.579) f1: (test=0.116) roc_auc: (test=0.623) 5.79s
[fit 5/150] END max_depth=4; total=2625, TP=67, TN=1652, FP=848, FN=58; precision=0.073, recall=0.536
accuracy: (test=0.655) average_precision: (test=0.136) balanced_accuracy: (test=0.598) f1: (test=0.129) roc_auc: (test=0.645) 7.00s
[fit 6/150] END max_depth=5; total=2625, TP=69, TN=1883, FP=617, FN=56; precision=0.101, recall=0.552
accuracy: (test=0.744) average_precision: (test=0.178) balanced_accuracy: (test=0.653) f1: (test=0.170) roc_auc: (test=0.700) 8.80s
[fit 7/150] END max_depth=6; total=2625, TP=64, TN=2062, FP=438, FN=61; precision=0.127, recall=0.512
accuracy: (test=0.810) average_precision: (test=0.215) balanced_accuracy: (test=0.668) f1: (test=0.204) roc_auc: (test=0.746) 10.09s
[fit 8/150] END max_depth=7; total=2625, TP=67, TN=2239, FP=261, FN=58; precision=0.204, recall=0.536
accuracy: (test=0.878) average_precision: (test=0.306) balanced_accuracy: (test=0.716) f1: (test=0.296) roc_auc: (test=0.791) 11.14s
[fit 9/150] END max_depth=8; total=2625, TP=73, TN=2343, FP=157, FN=52; precision=0.317, recall=0.584
accuracy: (test=0.920) average_precision: (test=0.399) balanced_accuracy: (test=0.761) f1: (test=0.411) roc_auc: (test=0.829) 12.15s
[fit 10/150] END max_depth=9; total=2625, TP=69, TN=2410, FP=90, FN=56; precision=0.434, recall=0.552
accuracy: (test=0.944) average_precision: (test=0.472) balanced_accuracy: (test=0.758) f1: (test=0.486) roc_auc: (test=0.847) 13.62s
[fit 11/150] END max_depth=10; total=2625, TP=72, TN=2432, FP=68, FN=53; precision=0.514, recall=0.576
accuracy: (test=0.954) average_precision: (test=0.510) balanced_accuracy: (test=0.774) f1: (test=0.543) roc_auc: (test=0.862) 13.82s
[fit 12/150] END max_depth=11; total=2625, TP=68, TN=2444, FP=56, FN=57; precision=0.548, recall=0.544
accuracy: (test=0.957) average_precision: (test=0.554) balanced_accuracy: (test=0.761) f1: (test=0.546) roc_auc: (test=0.858) 15.31s
