nohup: ignoring input
../../ex/epivan/base/pseknc-new_rf_base created !!!
../../ex/epivan/base/pseknc-new_rf_base/rank created !!!
experiment: GM12878 pseknc-new_rf
trainSet len:[X=76020,y=76020]
testSet len:[X=4431,y=4431]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 5, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=4431, TP=107, TN=4168, FP=52, FN=104; precision=0.673, recall=0.507
accuracy: (test=0.965) average_precision: (test=0.546) balanced_accuracy: (test=0.747) f1: (test=0.578) roc_auc: (test=0.864) 7.00s
[fit 2/34] END n_estimators=20; total=4431, TP=107, TN=4184, FP=36, FN=104; precision=0.748, recall=0.507
accuracy: (test=0.968) average_precision: (test=0.608) balanced_accuracy: (test=0.749) f1: (test=0.605) roc_auc: (test=0.876) 12.04s
[fit 3/34] END n_estimators=30; total=4431, TP=108, TN=4199, FP=21, FN=103; precision=0.837, recall=0.512
accuracy: (test=0.972) average_precision: (test=0.667) balanced_accuracy: (test=0.753) f1: (test=0.635) roc_auc: (test=0.891) 16.63s
[fit 4/34] END n_estimators=40; total=4431, TP=118, TN=4195, FP=25, FN=93; precision=0.825, recall=0.559
accuracy: (test=0.973) average_precision: (test=0.677) balanced_accuracy: (test=0.777) f1: (test=0.667) roc_auc: (test=0.899) 22.68s
[fit 5/34] END n_estimators=50; total=4431, TP=115, TN=4201, FP=19, FN=96; precision=0.858, recall=0.545
accuracy: (test=0.974) average_precision: (test=0.697) balanced_accuracy: (test=0.770) f1: (test=0.667) roc_auc: (test=0.901) 27.88s
[fit 6/34] END n_estimators=60; total=4431, TP=115, TN=4194, FP=26, FN=96; precision=0.816, recall=0.545
