params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'C': 16.0, 'gamma': 256.0, 'kernel': 'rbf'}",0.33725490196078434,0.6888804435303587,0.6846863010408316,0.6004728132387707,0.6014150943396226,181,181,181,148,148
"{'C': 16.0, 'gamma': 512.0, 'kernel': 'rbf'}",0.2033898305084746,0.629124564070464,0.6306020888084499,0.5555555555555556,0.5566037735849056,196,198,198,165,165
"{'C': 16.0, 'gamma': 1024.0, 'kernel': 'rbf'}",0.10714285714285715,0.6033041223285344,0.6033041223285344,0.5271867612293144,0.5283018867924528,208,211,211,178,178
"{'C': 16.0, 'gamma': 2048.0, 'kernel': 'rbf'}",0.018691588785046728,0.5589622641509434,0.5600049065524777,0.5035460992907801,0.5047169811320755,220,226,226,205,205
"{'C': 32.0, 'gamma': 0.0625, 'kernel': 'rbf'}",0.8701923076923078,0.9414177769829204,0.9482587530227161,0.8723404255319149,0.8723844227845837,39,50,65,42,45
"{'C': 32.0, 'gamma': 0.125, 'kernel': 'rbf'}",0.872289156626506,0.9409147813645712,0.9427605014306705,0.8747044917257684,0.8747540910310292,10,98,96,16,20
"{'C': 32.0, 'gamma': 0.25, 'kernel': 'rbf'}",0.8655256723716381,0.9410042028078334,0.9406101133842445,0.8699763593380615,0.8700594652597693,64,77,109,54,55
"{'C': 32.0, 'gamma': 0.5, 'kernel': 'rbf'}",0.8661800486618004,0.941954305642493,0.9462141584680561,0.8699763593380615,0.8700482875793616,53,18,82,54,66
"{'C': 32.0, 'gamma': 1.0, 'kernel': 'rbf'}",0.872289156626506,0.9422113922918716,0.9498903069033531,0.8747044917257684,0.8747540910310292,10,3,47,16,20
"{'C': 32.0, 'gamma': 2.0, 'kernel': 'rbf'}",0.8649885583524027,0.9416972189931145,0.9505318254571224,0.8605200945626478,0.8604466601090941,76,35,8,80,80
"{'C': 32.0, 'gamma': 4.0, 'kernel': 'rbf'}",0.847457627118644,0.941339533220066,0.9504720032028312,0.8297872340425532,0.8295180184208173,93,60,19,95,95
"{'C': 32.0, 'gamma': 8.0, 'kernel': 'rbf'}",0.7762039660056657,0.9409371367253867,0.9499240719855553,0.8132387706855791,0.8136345345613878,106,88,34,106,106
"{'C': 32.0, 'gamma': 16.0, 'kernel': 'rbf'}",0.674922600619195,0.9372037914691943,0.9371847888389703,0.75177304964539,0.7523361352052222,128,124,123,124,124
"{'C': 32.0, 'gamma': 32.0, 'kernel': 'rbf'}",0.5986842105263158,0.909483144057945,0.8938142791789245,0.7115839243498818,0.7122529732629884,171,137,137,137,137
