rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
54,0.8202415710321904,0.20279107989858883,53,0.9240508198110071,0.10353375548260205,50,0.9198077013383459,0.10764272632977223,54,0.8558029197080292,0.1326322966809448,"{'max_depth': 3, 'min_child_weight': 1}"
49,0.823151426031408,0.20474423057357258,49,0.924740265976378,0.10489313763360662,53,0.9195112579947404,0.11058355133468735,49,0.8591058394160583,0.1343264945748231,"{'max_depth': 3, 'min_child_weight': 2}"
51,0.8223993873047698,0.2031387518084043,52,0.9241537457323155,0.10518015489213783,51,0.9197142223196909,0.10883293864799427,51,0.8580474452554745,0.13304752409477608,"{'max_depth': 3, 'min_child_weight': 3}"
52,0.821933784522183,0.20370895909858805,50,0.9244345417913407,0.10412541429468551,52,0.9195322215475976,0.10863488474430756,53,0.857463503649635,0.13370463484199066,"{'max_depth': 3, 'min_child_weight': 4}"
50,0.8226761875393482,0.20387715534215584,51,0.9244298698489419,0.10520601096237567,49,0.9200501456988104,0.10908928611833399,50,0.8583576642335766,0.13372172130187163,"{'max_depth': 3, 'min_child_weight': 5}"
53,0.8216098763309206,0.20618817373947756,54,0.9238178420647708,0.10600744269720684,54,0.9185725116697391,0.11134978090178436,52,0.8577372262773724,0.13509352711652634,"{'max_depth': 3, 'min_child_weight': 6}"
43,0.8432700104014357,0.21313506169887786,43,0.9450386302704039,0.0865666266009915,43,0.9395185479566731,0.09504093914076618,43,0.88007299270073,0.14171341340621305,"{'max_depth': 4, 'min_child_weight': 1}"
45,0.8426915566386481,0.21329672679177145,45,0.944026513722657,0.0883851232617177,46,0.9377307922606315,0.09764855866683132,45,0.879507299270073,0.1418052367104475,"{'max_depth': 4, 'min_child_weight': 2}"
46,0.8423940733094328,0.21446639079202176,47,0.9433807866818407,0.08988853800442383,47,0.9376775152360433,0.09849668641549829,46,0.8793613138686132,0.14263927961723036,"{'max_depth': 4, 'min_child_weight': 3}"
44,0.843045770142812,0.21278682123915602,46,0.9434121183326087,0.08904227272537038,45,0.9380390640640075,0.09711089637028188,44,0.8797262773722627,0.14152644465141673,"{'max_depth': 4, 'min_child_weight': 4}"
47,0.8421178648099762,0.2108953448507922,44,0.9444616237394079,0.08673081770473663,44,0.9386422083844594,0.09596190759741824,47,0.8786131386861313,0.14009934262224827,"{'max_depth': 4, 'min_child_weight': 5}"
48,0.8411114188852155,0.21308443869002494,48,0.9422594439169778,0.09111763711835759,48,0.936849410371367,0.09934750951781608,48,0.8777737226277372,0.14224563869348095,"{'max_depth': 4, 'min_child_weight': 6}"
37,0.8541536979589729,0.2157631553946984,37,0.9542202225109969,0.0767490002119808,37,0.9478046173690636,0.08751143631568349,37,0.8904379562043795,0.1449569544650075,"{'max_depth': 5, 'min_child_weight': 1}"
40,0.852240075095619,0.2165385657255108,39,0.953254072814903,0.07813360644798115,40,0.9465409222776879,0.08921354800936969,40,0.8890145985401461,0.1447991102432668,"{'max_depth': 5, 'min_child_weight': 2}"
39,0.8527351543074753,0.2154306434939275,38,0.9534140044253917,0.07781298273559333,38,0.9471328918325537,0.08820349522989532,38,0.8892153284671531,0.1445026363355814,"{'max_depth': 5, 'min_child_weight': 3}"
41,0.8521820709092826,0.21619440019782607,40,0.9523157316654732,0.07984281241210164,42,0.9462720089020173,0.08962132153893515,41,0.8888868613138685,0.14469658509068759,"{'max_depth': 5, 'min_child_weight': 4}"
42,0.8514962694455248,0.2151303496525945,42,0.9521545946072664,0.07990736372859626,41,0.9462748152630569,0.08906035052878947,42,0.888102189781022,0.14386156505972406,"{'max_depth': 5, 'min_child_weight': 5}"
38,0.8528061429226087,0.2151303625487897,41,0.9522171813195829,0.08043009056123525,39,0.9465859665232166,0.0895734899081407,39,0.8891058394160585,0.14401561823309653,"{'max_depth': 5, 'min_child_weight': 6}"
31,0.8569269670158771,0.21830345288103814,24,0.9575089669326378,0.07274255966257907,21,0.9505749945157692,0.08415148753357723,29,0.8938138686131387,0.14633358796751456,"{'max_depth': 6, 'min_child_weight': 1}"
36,0.854994795057187,0.22014456209606237,35,0.9553173930521458,0.07691801567118683,35,0.9486446782690272,0.08813290574225399,34,0.8921897810218977,0.14766371716049997,"{'max_depth': 6, 'min_child_weight': 2}"
32,0.8564162931968825,0.21756664648795168,32,0.9563219139472832,0.07481847551915531,32,0.9495294585153777,0.08608792644931884,32,0.8931934306569342,0.14585126821409933,"{'max_depth': 6, 'min_child_weight': 3}"
33,0.8558307343419191,0.21774818150846204,33,0.9558995943302133,0.07538139927497596,33,0.9490353277631961,0.08703145523260845,33,0.892536496350365,0.1462571763124422,"{'max_depth': 6, 'min_child_weight': 4}"
34,0.855167154977692,0.21715893489155935,34,0.9558122360002897,0.07544745030715204,34,0.9489131412080634,0.08684461466915347,35,0.891897810218978,0.14553005399834662,"{'max_depth': 6, 'min_child_weight': 5}"
35,0.855054216060932,0.21557195644767913,36,0.9550623176510579,0.07681944748819554,36,0.9485052848559805,0.08754796285198878,36,0.8913503649635036,0.14484837084157143,"{'max_depth': 6, 'min_child_weight': 6}"
18,0.8578276030574037,0.22026271322717264,12,0.9584688363127206,0.07271181809097031,14,0.9514899061111665,0.08453151020729702,15,0.8947810218978102,0.1479503413506735,"{'max_depth': 7, 'min_child_weight': 1}"
